Origen,Destino,Aerolinea,ruta,n_train
CBA,ESQ,AEROLINEAS ARGENTINAS SA,CBA|ESQ|AEROLINEAS ARGENTINAS SA,7
CBA,EZE,AEROLINEAS ARGENTINAS SA,CBA|EZE|AEROLINEAS ARGENTINAS SA,1428
CBA,EZE,FB LÍNEAS AÉREAS - FLYBONDI,CBA|EZE|FB LÍNEAS AÉREAS - FLYBONDI,124
CBA,EZE,JETSMART AIRLINES S.A.,CBA|EZE|JETSMART AIRLINES S.A.,51
CBA,IGU,FB LÍNEAS AÉREAS - FLYBONDI,CBA|IGU|FB LÍNEAS AÉREAS - FLYBONDI,6
CBA,JUA,AEROLINEAS ARGENTINAS SA,CBA|JUA|AEROLINEAS ARGENTINAS SA,177
CBA,JUJ,AEROLINEAS ARGENTINAS SA,CBA|JUJ|AEROLINEAS ARGENTINAS SA,572
CBA,JUJ,FB LÍNEAS AÉREAS - FLYBONDI,CBA|JUJ|FB LÍNEAS AÉREAS - FLYBONDI,1
CBA,MDP,AEROLINEAS ARGENTINAS SA,CBA|MDP|AEROLINEAS ARGENTINAS SA,327
CBA,NEU,FB LÍNEAS AÉREAS - FLYBONDI,CBA|NEU|FB LÍNEAS AÉREAS - FLYBONDI,408
CBA,SAL,AEROLINEAS ARGENTINAS SA,CBA|SAL|AEROLINEAS ARGENTINAS SA,839
CBA,SAL,FB LÍNEAS AÉREAS - FLYBONDI,CBA|SAL|FB LÍNEAS AÉREAS - FLYBONDI,276
CBA,SDE,AEROLINEAS ARGENTINAS SA,CBA|SDE|AEROLINEAS ARGENTINAS SA,1
CBA,SVO,AEROLINEAS ARGENTINAS SA,CBA|SVO|AEROLINEAS ARGENTINAS SA,1
CBA,TRE,AEROLINEAS ARGENTINAS SA,CBA|TRE|AEROLINEAS ARGENTINAS SA,170
CBA,USU,AEROLINEAS ARGENTINAS SA,CBA|USU|AEROLINEAS ARGENTINAS SA,415
CHP,AER,JETSMART AIRLINES S.A.,CHP|AER|JETSMART AIRLINES S.A.,487
CHP,CBA,AEROLINEAS ARGENTINAS SA,CHP|CBA|AEROLINEAS ARGENTINAS SA,44
CHP,EZE,AEROLINEAS ARGENTINAS SA,CHP|EZE|AEROLINEAS ARGENTINAS SA,185
CHP,EZE,JETSMART AIRLINES S.A.,CHP|EZE|JETSMART AIRLINES S.A.,12
CHP,ROS,AEROLINEAS ARGENTINAS SA,CHP|ROS|AEROLINEAS ARGENTINAS SA,22
CRR,AER,FB LÍNEAS AÉREAS - FLYBONDI,CRR|AER|FB LÍNEAS AÉREAS - FLYBONDI,172
CRR,AER,JETSMART AIRLINES S.A.,CRR|AER|JETSMART AIRLINES S.A.,85
CRR,CBA,AEROLINEAS ARGENTINAS SA,CRR|CBA|AEROLINEAS ARGENTINAS SA,24
CRR,EZE,AEROLINEAS ARGENTINAS SA,CRR|EZE|AEROLINEAS ARGENTINAS SA,63
CRR,EZE,FB LÍNEAS AÉREAS - FLYBONDI,CRR|EZE|FB LÍNEAS AÉREAS - FLYBONDI,9
CRR,EZE,JETSMART AIRLINES S.A.,CRR|EZE|JETSMART AIRLINES S.A.,14
CRR,IGU,AEROLINEAS ARGENTINAS SA,CRR|IGU|AEROLINEAS ARGENTINAS SA,1
CRR,SAL,AEROLINEAS ARGENTINAS SA,CRR|SAL|AEROLINEAS ARGENTINAS SA,2
CRV,AER,AEROLINEAS ARGENTINAS SA,CRV|AER|AEROLINEAS ARGENTINAS SA,4071
CRV,AER,FB LÍNEAS AÉREAS - FLYBONDI,CRV|AER|FB LÍNEAS AÉREAS - FLYBONDI,341
CRV,AER,JETSMART AIRLINES S.A.,CRV|AER|JETSMART AIRLINES S.A.,335
CRV,CBA,AEROLINEAS ARGENTINAS SA,CRV|CBA|AEROLINEAS ARGENTINAS SA,511
CRV,DRY,AEROLINEAS ARGENTINAS SA,CRV|DRY|AEROLINEAS ARGENTINAS SA,1
CRV,EZE,AEROLINEAS ARGENTINAS SA,CRV|EZE|AEROLINEAS ARGENTINAS SA,375
CRV,EZE,FB LÍNEAS AÉREAS - FLYBONDI,CRV|EZE|FB LÍNEAS AÉREAS - FLYBONDI,76
CRV,EZE,JETSMART AIRLINES S.A.,CRV|EZE|JETSMART AIRLINES S.A.,7
CRV,GAL,AEROLINEAS ARGENTINAS SA,CRV|GAL|AEROLINEAS ARGENTINAS SA,162
CRV,GRA,AEROLINEAS ARGENTINAS SA,CRV|GRA|AEROLINEAS ARGENTINAS SA,1
CRV,JUA,AEROLINEAS ARGENTINAS SA,CRV|JUA|AEROLINEAS ARGENTINAS SA,1
CRV,JUJ,AEROLINEAS ARGENTINAS SA,CRV|JUJ|AEROLINEAS ARGENTINAS SA,13
CRV,NEU,AEROLINEAS ARGENTINAS SA,CRV|NEU|AEROLINEAS ARGENTINAS SA,18
CRV,TRE,AEROLINEAS ARGENTINAS SA,CRV|TRE|AEROLINEAS ARGENTINAS SA,4
CRV,USU,AEROLINEAS ARGENTINAS SA,CRV|USU|AEROLINEAS ARGENTINAS SA,1
DOZ,AER,AEROLINEAS ARGENTINAS SA,DOZ|AER|AEROLINEAS ARGENTINAS SA,8706
DOZ,BAR,AEROLINEAS ARGENTINAS SA,DOZ|BAR|AEROLINEAS ARGENTINAS SA,329
DOZ,BAR,JETSMART AIRLINES S.A.,DOZ|BAR|JETSMART AIRLINES S.A.,138
DOZ,CBA,AEROLINEAS ARGENTINAS SA,DOZ|CBA|AEROLINEAS ARGENTINAS SA,1456
DOZ,CBA,JETSMART AIRLINES S.A.,DOZ|CBA|JETSMART AIRLINES S.A.,1
DOZ,EZE,AEROLINEAS ARGENTINAS SA,DOZ|EZE|AEROLINEAS ARGENTINAS SA,1581
DOZ,EZE,FB LÍNEAS AÉREAS - FLYBONDI,DOZ|EZE|FB LÍNEAS AÉREAS - FLYBONDI,171
DOZ,IGU,AEROLINEAS ARGENTINAS SA,DOZ|IGU|AEROLINEAS ARGENTINAS SA,2
DOZ,JUA,AEROLINEAS ARGENTINAS SA,DOZ|JUA|AEROLINEAS ARGENTINAS SA,1
DOZ,JUJ,AEROLINEAS ARGENTINAS SA,DOZ|JUJ|AEROLINEAS ARGENTINAS SA,58
DOZ,MDP,AEROLINEAS ARGENTINAS SA,DOZ|MDP|AEROLINEAS ARGENTINAS SA,216
DOZ,NEU,AEROLINEAS ARGENTINAS SA,DOZ|NEU|AEROLINEAS ARGENTINAS SA,18
DOZ,PAR,AEROLINEAS ARGENTINAS SA,DOZ|PAR|AEROLINEAS ARGENTINAS SA,1
DOZ,ROS,AEROLINEAS ARGENTINAS SA,DOZ|ROS|AEROLINEAS ARGENTINAS SA,346
DOZ,SAL,AEROLINEAS ARGENTINAS SA,DOZ|SAL|AEROLINEAS ARGENTINAS SA,371
DOZ,SAL,JETSMART AIRLINES S.A.,DOZ|SAL|JETSMART AIRLINES S.A.,99
