iter	Passed	Remaining
967	63187	2088
968	63253	2023
969	63323	1958
970	63388	1893
971	63455	1827
972	63519	1762
973	63604	1697
974	63683	1632
975	63755	1567
976	63815	1502
977	63886	1437
978	63954	1371
979	64027	1306
980	64101	1241
981	64171	1176
982	64249	1111
983	64322	1045
984	64399	980
985	64467	915
986	64543	850
987	64602	784
988	64677	719
989	64755	654
990	64824	588
991	64891	523
992	64964	457
993	65035	392
994	65102	327
995	65177	261
996	65265	196
997	65333	130
998	65397	65
999	65443	0
